"","Detail","Price","Mileage"
"1","2018 Audi Q5 2.0T Tech Premium","$28,700","45,838 mi."
"2","2022 Audi Q5 45 S line quattro Premium","$48,775","3,727 mi."
"3","2022 Audi SQ5 3.0T Premium","$58,690","8,409 mi."
"4","2021 Audi e-tron Premium Plus","$63,254","18,492 mi."
"5","2012 Audi A4 2.0T Premium quattro","$16,990","70,417 mi."
"6","2019 Audi Q8 3.0T Premium","$66,995","20,776 mi."
"7","2021 Audi Q5 45 Premium","$36,869","62,286 mi."
"8","2017 Audi A4 2.0T Premium","$25,765","46,434 mi."
"9","2019 Audi SQ5 3.0T Premium","$44,815","19,772 mi."
"10","2018 Audi A6 2.0T Premium Plus","$32,000","29,504 mi."
"11","2019 Audi SQ5 3.0T Premium","$42,998","49,069 mi."
"12","2022 Audi e-tron Premium Plus","$66,268","3,440 mi."
"13","2021 Audi Q5 e 55 Premium","$50,748","15,281 mi."
"14","2012 Audi A5 2.0T Premium Plus quattro","$9,999","138,245 mi."
"15","2013 Audi S4 3.0T quattro Premium Plus AWD 4dr Sedan 7A","$21,990","80,363 mi."
"16","2021 Audi Q7 55 Premium","$60,995","9,602 mi."
"17","2013 Audi S6 4.0T Prestige quattro","$18,971","101,116 mi."
"18","2022 Audi e-tron Premium Plus","$83,750","4,891 mi."
"19","2019 Audi Q7 45 Premium","$25,575","94,896 mi."
"20","2019 Audi Q3 2.0T Premium","$25,472","71,791 mi."
"21","2006 Audi A4 2.0T","$5,999","102,004 mi."
"22","2012 Audi A5 2.0T Premium Plus","$9,999","132,413 mi."
"23","2012 Audi R8 4.2 quattro","$90,999","39,323 mi."
"24","2014 Audi R8 5.2","$108,995","21,661 mi."
"25","2013 Audi S7 Prestige","$17,999","186,825 mi."
"26","2017 Audi RS 7 4.0T Performance Prestige","$83,990","25,351 mi."
"27","2017 Audi S7 4.0T Premium Plus","$47,000","42,042 mi."
"28","2021 Audi SQ8 4.0T Premium Plus","$83,409","46,949 mi."
"29","2020 Audi A6 allroad 3.0T Premium Plus","$63,000","22,274 mi."
"30","2016 Audi A8 L 3.0T","$31,995","48,362 mi."
"31","2019 Audi SQ5 3.0T Premium","$46,998","42,446 mi."
"32","2020 Audi Q8 55 Premium Plus","$67,699","12,535 mi."
"33","2021 Audi SQ8 4.0T quattro Premium Plus","$97,994","3,406 mi."
"34","2012 Audi A5 2.0T Premium","$16,995","43,745 mi."
"35","2021 Audi Q7 55 Premium Plus","$47,500","45,617 mi."
"36","2020 Audi S3 2.0T S line quattro Premium","$40,250","15,710 mi."
"37","2021 Audi A6 55 Premium Plus","$50,000","12,833 mi."
"38","2018 Audi S5 3.0T Prestige","$41,500","39,853 mi."
"39","2022 Audi A5 45 Premium","$51,000","2,331 mi."
"40","2022 Audi S3 2.0T quattro Premium","$52,695","13,739 mi."
"41","2017 Audi A8 L 3.0T","$36,995","57,327 mi."
"42","2016 Audi S7 4.0T quattro","$44,995","45,000 mi."
"43","2021 Audi SQ8 4.0T quattro Premium Plus","$98,884","13,869 mi."
"44","2020 Audi A6 allroad 3.0T Premium Plus","$56,347","31,660 mi."
"45","2021 Audi RS 6 Avant 4.0T quattro","$134,850","4,734 mi."
"46","2021 Audi A6 45 Sport Premium","$48,850","7,864 mi."
"47","2018 Audi TT RS 2.5T","$62,328","33,090 mi."
"48","2018 Audi RS 7 4.0T Performance","$89,800","28,846 mi."
"49","2022 Audi RS e-tron GT Base","Not Priced","2,646 mi."
"50","2012 Audi A5 2.0T Prestige","$10,990","102,500 mi."
"51","2016 Audi TTS 2.0T quattro","$34,988","40,390 mi."
"52","2019 Audi A8 L 3.0T","$51,970","30,275 mi."
"53","2021 Audi A4 40 Premium Plus","$38,889","17,959 mi."
"54","2017 Audi A7 3.0T Premium Plus","$34,700","56,147 mi."
"55","2008 Audi R8 ","$78,885","21,166 mi."
"56","2020 Audi S4 3.0T Prestige","$55,555","9,602 mi."
"57","2021 Audi A7 3.0T Prestige","$68,478","7,656 mi."
"58","2021 Audi A6 55 Premium Plus","$55,775","5,626 mi."
"59","2022 Audi RS e-tron GT Base","$168,880","5,641 mi."
"60","2019 Audi Q7 55 Premium Plus","$46,300","30,648 mi."
"61","2022 Audi A8 L 55","$78,993","902 mi."
"62","2021 Audi A6 45 Premium","$45,493","17,570 mi."
"63","2014 Audi A8 L 3.0 TDI","$33,999","42,136 mi."
"64","2016 Audi Q3 2.0T Prestige","$27,000","35,236 mi."
"65","2020 Audi A6 allroad 3.0T Premium Plus","$58,587","20,974 mi."
"66","2019 Audi Q7 45 Premium Plus","$40,587","31,369 mi."
