"","Detail","Price","Mileage"
"1","2019 Porsche Macan Base","$53,494","18,829 mi."
"2","2013 Porsche Panamera 4S","$25,495","100,436 mi."
"3","2020 Porsche 911 Carrera","$121,900","12,677 mi."
"4","2016 Porsche 911 R","$499,900","1,800 mi."
"5","2016 Porsche Macan S","$35,590","47,997 mi."
"6","2022 Porsche 718 Cayman S","$96,900","2,227 mi."
"7","2020 Porsche Cayenne ","$72,900","28,927 mi."
"8","2010 Porsche Cayman S","$49,900","41,772 mi."
"9","2015 Porsche Cayman Base","$51,995","15,589 mi."
"10","2018 Porsche 718 Boxster GTS","$75,900","17,164 mi."
"11","2020 Porsche Cayenne Turbo Coupe AWD","$123,663","6,685 mi."
"12","2004 Porsche Carrera GT Base (M6)","$1,749,995","2,282 mi."
"13","2020 Porsche Macan S","$56,995","27,616 mi."
"14","2022 Porsche Cayenne Base (Tiptronic)","$82,990","6,204 mi."
"15","2000 Porsche 911 Carrera Cabriolet","$24,491","78,445 mi."
"16","2000 Porsche Boxster S","$15,900","43,536 mi."
"17","2014 Porsche Cayman Base","$41,995","61,058 mi."
"18","2020 Porsche Macan S","$67,585","6,985 mi."
"19","2020 Porsche Cayenne E-Hybrid AWD","$86,991","21,410 mi."
"20","2012 Porsche Panamera Turbo","$47,500","46,502 mi."
"21","2021 Porsche Taycan Cross Turismo 4","$106,990","3,036 mi."
"22","2001 Porsche 911 Carrera Cabriolet","$25,739","50,382 mi."
"23","2022 Porsche Cayenne Turbo GT","$231,299","2,500 mi."
"24","2006 Porsche Boxster ","$19,503","83,531 mi."
"25","2018 Porsche Panamera Sport Turismo 4","$79,990","12,619 mi."
"26","2019 Porsche Cayenne Turbo","$102,025","36,237 mi."
"27","2001 Porsche 911 Carrera Cabriolet","$28,895","29,758 mi."
"28","2016 Porsche Panamera GTS","$61,394","32,631 mi."
"29","2007 Porsche 911 Targa 4","$59,800","39,739 mi."
"30","2020 Porsche Macan Base","$53,495","3,792 mi."
"31","2005 Porsche 911 Carrera","$46,900","48,082 mi."
"32","2022 Porsche Taycan Base","$102,900","4,140 mi."
"33","2016 Porsche Panamera GTS","$58,995","53,756 mi."
"34","1993 Porsche 928 GTS","$79,700","44,886 mi."
"35","2022 Porsche Taycan Cross Turismo Turbo S","$239,992","344 mi."
"36","2021 Porsche 718 Cayman GT4","$137,900","4,900 mi."
"37","2022 Porsche 911 GT3","$275,000","1,887 mi."
"38","2014 Porsche Panamera E-Hybrid S","$45,800","37,500 mi."
"39","2011 Porsche Cayman S","$39,500","66,704 mi."
"40","2019 Porsche Cayenne Base","$54,977","46,184 mi."
