"","Detail","Price","Mileage"
"1","1999 Volkswagen New Beetle GL","$4,500","126,725 mi."
"2","2019 Volkswagen Atlas 3.6L SEL","$34,700","26,312 mi."
"3","2008 Volkswagen Rabbit S","$4,995","123,554 mi."
"4","2016 Volkswagen Golf R 4-Door","$28,995","28,505 mi."
"5","2014 Volkswagen Jetta SportWagen TDI","$15,990","88,992 mi."
"6","2016 Volkswagen Golf SportWagen TSI S 4-Door","$15,240","67,206 mi."
"7","2019 Volkswagen Jetta 1.4T SEL Premium","$23,995","46,943 mi."
"8","2021 Volkswagen Jetta 1.4T S","$19,594","37,419 mi."
"9","2021 Volkswagen Jetta 1.4T S","$19,498","33,323 mi."
"10","2022 Volkswagen Taos 1.5T SE","$30,988","353 mi."
"11","2021 Volkswagen Jetta GLI 2.0T S","$30,991","2,992 mi."
"12","2019 Volkswagen Jetta GLI 2.0T 35th Anniversary Edition","$25,765","30,180 mi."
"13","2017 Volkswagen Tiguan Limited 2.0T S","$16,999","76,178 mi."
"14","2015 Volkswagen Touareg V6 Lux","$19,675","91,650 mi."
"15","2020 Volkswagen Atlas Cross Sport 2.0T SEL","$33,400","55,035 mi."
"16","2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL Premium","$49,990","15,966 mi."
"17","1970 Volkswagen Beetle (Pre-1980) Base","$18,900","60,262 mi."
"18","2019 Volkswagen Atlas 2.0T SE","$31,500","38,847 mi."
"19","2013 Volkswagen CC 2.0T Sport","$13,800","64,968 mi."
"20","2012 Volkswagen Tiguan SE","$15,990","86,622 mi."
"21","2018 Volkswagen Atlas 3.6L SE w/Technology","$28,999","59,807 mi."
"22","2011 Volkswagen Jetta SportWagen TDI","$7,699","129,716 mi."
"23","2021 Volkswagen Atlas Cross Sport 3.6L V6 SE w/Technology","$39,988","45,436 mi."
"24","2021 Volkswagen Atlas 3.6 V6 SEL Premium R-Line","$47,985","29,394 mi."
"25","2020 Volkswagen Arteon 2.0T SEL R-Line","$31,555","22,950 mi."
"26","2021 Volkswagen Arteon 2.0T SEL R-Line","$37,997","13,378 mi."
"27","2021 Volkswagen Arteon 2.0T SEL Premium R-Line 4MOTION","$41,600","15,596 mi."
"28","2021 Volkswagen Atlas Cross Sport 3.6L V6 SEL R-Line","$43,181","16,877 mi."
"29","2017 Volkswagen Touareg V6 Wolfsburg Edition","$25,800","76,112 mi."
